task_type	prefix	data_type	bound	start	end	video	question	answer	candidates	index
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	17.7	KFGXC.mp4	What happened after the person held the dish?	Put down the food.	['Sat on the bed.', 'Ate the sandwich.', 'Put down the food.', 'Took the food.']	13
Action Sequence	video/star/Charades_v1_480/	video	True	0.8	13.0	GKH0F.mp4	What happened after the person sat on the sofa/couch?	Took the bag.	['Ate the sandwich.', 'Put down the pillow.', 'Washed the clothes.', 'Took the bag.']	14
Action Sequence	video/star/Charades_v1_480/	video	True	7.8	15.6	84893.mp4	What happened before the person threw the clothes?	Tidied up the blanket.	['Opened the bag.', 'Took the shoe.', 'Threw the food.', 'Tidied up the blanket.']	15
Action Sequence	video/star/Charades_v1_480/	video	True	28.5	37.0	HL5OP.mp4	What happened after the person took the dish?	Tidied up the table.	['Threw the shoe.', 'Put down the food.', 'Threw the pillow.', 'Tidied up the table.']	16
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	11.5	FQS7O.mp4	What happened after the person sat at the table?	Closed the book.	['Put down the cup/glass/bottle.', 'Opened the box.', 'Opened the window.', 'Closed the book.']	17
Action Sequence	video/star/Charades_v1_480/	video	True	12.3	20.1	HOYUT.mp4	What happened before the person took the towel?	Closed the closet/cabinet.	['Closed the closet/cabinet.', 'Threw the clothes.', 'Lied on the bed.', 'Lied on the sofa/couch.']	18
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	16.7	L9J5I.mp4	What happened after the person put down the food?	Took the paper/notebook.	['Opened the bag.', 'Took the paper/notebook.', 'Threw the clothes.', 'Ate the sandwich.']	19
Action Sequence	video/star/Charades_v1_480/	video	True	16.9	28.2	EFR6I.mp4	What happened before the person watched at the book?	Took the paper/notebook.	['Closed the window.', 'Took the paper/notebook.', 'Took the book.', 'Threw the shoe.']	20
Action Sequence	video/star/Charades_v1_480/	video	True	3.4	11.9	0OE6M.mp4	What happened before the person took the towel?	Threw the clothes.	['Opened the bag.', 'Put down the phone/camera.', 'Threw the clothes.', 'Opened the closet/cabinet.']	21
Action Sequence	video/star/Charades_v1_480/	video	True	5.0	22.3	MD6P2.mp4	What happened before the person held the medicine?	Opened the box.	['Took the dish.', 'Opened the box.', 'Threw the box.', 'Washed the window.']	22
Action Sequence	video/star/Charades_v1_480/	video	True	3.0	18.0	3064K.mp4	What happened before the person put down the clothes?	Tidied up the blanket.	['Opened the window.', 'Tidied up the closet/cabinet.', 'Took the food.', 'Tidied up the blanket.']	23
Action Sequence	video/star/Charades_v1_480/	video	True	1.8	14.4	8IPWO.mp4	What happened after the person drank from the cup/glass/bottle?	Opened the book.	['Put down the laptop.', 'Put down the cup/glass/bottle.', 'Put down the phone/camera.', 'Opened the book.']	24
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	12.8	DPLMM.mp4	What happened before the person took the pillow?	Sat on the floor.	['Sat on the floor.', 'Threw the blanket.', 'Threw the shoe.', 'Closed the door.']	25
Action Sequence	video/star/Charades_v1_480/	video	True	1.9	14.7	8G9A9.mp4	What happened before the person held the phone/camera?	Took the laptop.	['Took the laptop.', 'Sat on the sofa/couch.', 'Put down the shoe.', 'Put down the cup/glass/bottle.']	26
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	15.1	2PREF.mp4	What happened before the person opened the closet/cabinet?	Put down the dish.	['Put down the dish.', 'Closed the box.', 'Closed the book.', 'Threw the shoe.']	27
Action Sequence	video/star/Charades_v1_480/	video	True	15.4	28.3	JLGLU.mp4	What happened before the person closed the door?	Took the towel.	['Put down the box.', 'Took the paper/notebook.', 'Took the towel.', 'Sat at the table.']	28
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	7.1	DSZYT.mp4	What happened after the person held the dish?	Put down the cup/glass/bottle.	['Put down the cup/glass/bottle.', 'Sat on the floor.', 'Took the cup/glass/bottle.', 'Threw the towel.']	29
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	17.9	YMGGV.mp4	What happened before the person took the blanket?	Sat on the sofa/couch.	['Sat on the sofa/couch.', 'Threw the box.', 'Put down the broom.', 'Opened the closet/cabinet.']	30
Action Sequence	video/star/Charades_v1_480/	video	True	2.6	21.6	HOI88.mp4	What happened after the person sat at the table?	Sat on the sofa/couch.	['Opened the book.', 'Opened the refrigerator.', 'Took the clothes.', 'Sat on the sofa/couch.']	31
Action Sequence	video/star/Charades_v1_480/	video	True	3.5	12.2	LH6LE.mp4	What happened after the person opened the closet/cabinet?	Took the dish.	['Took the sandwich.', 'Took the dish.', 'Took the phone/camera.', 'Closed the door.']	32
Action Sequence	video/star/Charades_v1_480/	video	True	4.4	17.0	4P13T.mp4	What happened after the person opened the bag?	Put down the book.	['Put down the book.', 'Opened the book.', 'Took the book.', 'Put down the blanket.']	33
Action Sequence	video/star/Charades_v1_480/	video	True	15.6	32.0	CJ58B.mp4	What happened before the person held the food?	Opened the bag.	['Took the food.', 'Opened the bag.', 'Took the sandwich.', 'Tidied up the table.']	34
Action Sequence	video/star/Charades_v1_480/	video	True	7.1	21.2	V3RAX.mp4	What happened before the person took the clothes?	Threw the blanket.	['Washed the clothes.', 'Threw the blanket.', 'Took the towel.', 'Opened the bag.']	35
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	10.6	2RRSO.mp4	What happened after the person held the sandwich?	Washed the clothes.	['Took the cup/glass/bottle.', 'Put down the clothes.', 'Washed the clothes.', 'Opened the bag.']	36
Action Sequence	video/star/Charades_v1_480/	video	True	2.3	12.3	MLS4T.mp4	What happened before the person took the cup/glass/bottle?	Threw the box.	['Threw the blanket.', 'Threw the box.', 'Put down the shoe.', 'Took the clothes.']	37
Action Sequence	video/star/Charades_v1_480/	video	True	8.8	16.9	XFRYR.mp4	What happened before the person held the food?	Closed the closet/cabinet.	['Opened the bag.', 'Closed the closet/cabinet.', 'Opened the laptop.', 'Ate the sandwich.']	38
Action Sequence	video/star/Charades_v1_480/	video	True	4.3	20.8	56XKK.mp4	What happened before the person opened the door?	Put down the bag.	['Tidied up the clothes.', 'Put down the bag.', 'Put down the food.', 'Opened the book.']	39
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	18.4	HCM5Y.mp4	What happened before the person opened the door?	Sat on the floor.	['Put down the paper/notebook.', 'Tidied up the blanket.', 'Sat on the floor.', 'Took the shoe.']	40
Action Sequence	video/star/Charades_v1_480/	video	True	0.3	20.0	0F453.mp4	What happened after the person opened the refrigerator?	Took the paper/notebook.	['Closed the window.', 'Put down the cup/glass/bottle.', 'Took the paper/notebook.', 'Sat at the table.']	41
Action Sequence	video/star/Charades_v1_480/	video	True	29.2	37.0	V9W9C.mp4	What happened after the person drank from the cup/glass/bottle?	Tidied up the table.	['Tidied up the table.', 'Took the bag.', 'Took the dish.', 'Threw the book.']	42
Action Sequence	video/star/Charades_v1_480/	video	True	1.1	10.5	136V6.mp4	What happened after the person closed the door?	Threw the shoe.	['Put down the broom.', 'Put down the laptop.', 'Threw the shoe.', 'Took the picture.']	43
Action Sequence	video/star/Charades_v1_480/	video	True	4.6	12.4	J7BOV.mp4	What happened before the person took the cup/glass/bottle?	Put down the phone/camera.	['Put down the dish.', 'Opened the book.', 'Put down the phone/camera.', 'Took the food.']	44
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	12.5	983K8.mp4	What happened after the person held the food?	Took the blanket.	['Took the blanket.', 'Tidied up the table.', 'Took the book.', 'Threw the broom.']	45
Action Sequence	video/star/Charades_v1_480/	video	True	9.1	27.7	VO45S.mp4	What happened before the person washed the dish?	Put down the box.	['Washed the table.', 'Took the cup/glass/bottle.', 'Tidied up the towel.', 'Put down the box.']	46
Action Sequence	video/star/Charades_v1_480/	video	True	4.5	16.4	1UI6I.mp4	What happened before the person held the mirror?	Closed the closet/cabinet.	['Took the cup/glass/bottle.', 'Sat on the table.', 'Closed the closet/cabinet.', 'Opened the window.']	47
Action Sequence	video/star/Charades_v1_480/	video	True	0.7	15.3	84893.mp4	What happened after the person put down the clothes?	Tidied up the blanket.	['Tidied up the closet/cabinet.', 'Tidied up the blanket.', 'Took the phone/camera.', 'Sat on the table.']	48
Action Sequence	video/star/Charades_v1_480/	video	True	18.9	29.9	T1CQE.mp4	What happened after the person opened the bag?	Took the laptop.	['Sat at the table.', 'Tidied up the closet/cabinet.', 'Took the laptop.', 'Put down the cup/glass/bottle.']	49
Action Sequence	video/star/Charades_v1_480/	video	True	21.1	36.5	OEE36.mp4	What happened before the person closed the box?	Put down the towel.	['Put down the cup/glass/bottle.', 'Put down the towel.', 'Threw the box.', 'Sat on the sofa/couch.']	50
Action Sequence	video/star/Charades_v1_480/	video	True	13.5	30.0	OK2AF.mp4	What happened after the person closed the door?	Took the book.	['Threw the broom.', 'Took the book.', 'Put down the phone/camera.', 'Put down the picture.']	51
Action Sequence	video/star/Charades_v1_480/	video	True	2.4	17.6	ZAJAJ.mp4	What happened after the person put down the pillow?	Took the picture.	['Took the picture.', 'Tidied up the table.', 'Sat on the floor.', 'Sat at the table.']	52
Action Sequence	video/star/Charades_v1_480/	video	True	24.6	35.0	CCCUJ.mp4	What happened before the person took the blanket?	Put down the laptop.	['Took the book.', 'Put down the dish.', 'Opened the closet/cabinet.', 'Put down the laptop.']	53
Action Sequence	video/star/Charades_v1_480/	video	True	15.6	24.6	6H78U.mp4	What happened before the person put down the blanket?	Tidied up the clothes.	['Took the bag.', 'Took the towel.', 'Tidied up the clothes.', 'Opened the box.']	54
Action Sequence	video/star/Charades_v1_480/	video	True	5.5	21.3	NV4FC.mp4	What happened after the person put down the clothes?	Threw the shoe.	['Tidied up the blanket.', 'Threw the shoe.', 'Opened the door.', 'Put down the paper/notebook.']	55
Action Sequence	video/star/Charades_v1_480/	video	True	4.9	13.9	NW0KT.mp4	What happened after the person opened the book?	Took the paper/notebook.	['Took the paper/notebook.', 'Put down the food.', 'Threw the clothes.', 'Took the dish.']	56
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	10.3	SUI1X.mp4	What happened after the person sat on the floor?	Opened the bag.	['Put down the book.', 'Opened the bag.', 'Washed the clothes.', 'Took the picture.']	57
Action Sequence	video/star/Charades_v1_480/	video	True	19.9	27.6	UDGRS.mp4	What happened before the person closed the book?	Put down the phone/camera.	['Put down the phone/camera.', 'Sat at the table.', 'Put down the cup/glass/bottle.', 'Put down the broom.']	58
Action Sequence	video/star/Charades_v1_480/	video	True	4.7	19.7	E002I.mp4	What happened before the person closed the door?	Lied on the bed.	['Lied on the bed.', 'Took the cup/glass/bottle.', 'Put down the blanket.', 'Closed the closet/cabinet.']	59
Action Sequence	video/star/Charades_v1_480/	video	True	2.9	14.2	IZ2XX.mp4	What happened after the person closed the door?	Put down the book.	['Took the food.', 'Put down the phone/camera.', 'Threw the book.', 'Put down the book.']	60
Action Sequence	video/star/Charades_v1_480/	video	True	3.8	14.3	FX1T5.mp4	What happened after the person watched at the picture?	Opened the book.	['Opened the laptop.', 'Took the broom.', 'Opened the book.', 'Opened the closet/cabinet.']	61
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	13.1	0HGNK.mp4	What happened after the person sat at the table?	Put down the box.	['Put down the broom.', 'Put down the box.', 'Opened the door.', 'Closed the closet/cabinet.']	62
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	7.3	3IRHH.mp4	What happened after the person held the dish?	Took the paper/notebook.	['Ate the medicine.', 'Took the towel.', 'Took the phone/camera.', 'Took the paper/notebook.']	63
Action Sequence	video/star/Charades_v1_480/	video	True	25.0	34.0	9BCZU.mp4	What happened after the person put down the blanket?	Washed the clothes.	['Took the pillow.', 'Washed the cup/glass/bottle.', 'Took the bag.', 'Washed the clothes.']	64
Action Sequence	video/star/Charades_v1_480/	video	True	11.9	28.1	3XKBC.mp4	What happened after the person put down the clothes?	Opened the laptop.	['Opened the laptop.', 'Threw the broom.', 'Opened the door.', 'Closed the closet/cabinet.']	65
Action Sequence	video/star/Charades_v1_480/	video	True	8.7	21.4	7TA23.mp4	What happened after the person took the phone/camera?	Put down the shoe.	['Threw the bag.', 'Opened the bag.', 'Put down the food.', 'Put down the shoe.']	66
Action Sequence	video/star/Charades_v1_480/	video	True	5.2	21.8	1ZBUS.mp4	What happened before the person held the sandwich?	Sat at the table.	['Sat at the table.', 'Put down the shoe.', 'Opened the laptop.', 'Ate the medicine.']	67
Action Sequence	video/star/Charades_v1_480/	video	True	7.0	26.3	TBRZ5.mp4	What happened before the person held the phone/camera?	Threw the pillow.	['Put down the broom.', 'Threw the towel.', 'Opened the bag.', 'Threw the pillow.']	68
Action Sequence	video/star/Charades_v1_480/	video	True	16.1	28.5	4GLAP.mp4	What happened before the person opened the door?	Threw the shoe.	['Put down the book.', 'Threw the shoe.', 'Took the book.', 'Took the clothes.']	69
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	12.8	KU656.mp4	What happened after the person lied on the bed?	Took the towel.	['Washed the dish.', 'Opened the laptop.', 'Put down the pillow.', 'Took the towel.']	70
Action Sequence	video/star/Charades_v1_480/	video	True	5.4	19.1	YB67Z.mp4	What happened after the person opened the box?	Tidied up the table.	['Put down the picture.', 'Tidied up the table.', 'Lied on the floor.', 'Took the clothes.']	71
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	7.2	8W31Y.mp4	What happened after the person lied on the bed?	Took the food.	['Tidied up the clothes.', 'Took the food.', 'Opened the book.', 'Put down the laptop.']	72
Action Sequence	video/star/Charades_v1_480/	video	True	9.2	27.2	T2J3M.mp4	What happened after the person opened the door?	Tidied up the closet/cabinet.	['Put down the pillow.', 'Tidied up the closet/cabinet.', 'Sat on the bed.', 'Closed the box.']	73
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	19.8	BE51K.mp4	What happened after the person put down the bag?	Sat on the bed.	['Closed the window.', 'Closed the closet/cabinet.', 'Sat on the bed.', 'Closed the book.']	74
Action Sequence	video/star/Charades_v1_480/	video	True	7.9	21.4	52MV9.mp4	What happened after the person held the sandwich?	Put down the dish.	['Put down the dish.', 'Put down the food.', 'Put down the towel.', 'Closed the refrigerator.']	75
Action Sequence	video/star/Charades_v1_480/	video	True	24.8	36.1	7MRKY.mp4	What happened before the person closed the laptop?	Put down the broom.	['Took the bag.', 'Took the sandwich.', 'Took the food.', 'Put down the broom.']	76
Action Sequence	video/star/Charades_v1_480/	video	True	17.4	27.4	CJ58B.mp4	What happened after the person held the food?	Put down the bag.	['Opened the bag.', 'Put down the bag.', 'Put down the book.', 'Lied on the floor.']	77
Action Sequence	video/star/Charades_v1_480/	video	True	6.1	13.3	IFQS1.mp4	What happened after the person washed the clothes?	Put down the blanket.	['Put down the blanket.', 'Took the clothes.', 'Took the cup/glass/bottle.', 'Threw the pillow.']	78
Action Sequence	video/star/Charades_v1_480/	video	True	2.7	10.7	5I4UT.mp4	What happened before the person watched at the picture?	Lied on the floor.	['Opened the book.', 'Lied on the floor.', 'Washed the clothes.', 'Took the food.']	79
Action Sequence	video/star/Charades_v1_480/	video	True	4.4	16.1	O7OD2.mp4	What happened after the person held the medicine?	Ate the sandwich.	['Opened the refrigerator.', 'Ate the sandwich.', 'Opened the box.', 'Sat on the sofa/couch.']	80
Action Sequence	video/star/Charades_v1_480/	video	True	11.6	23.9	CII5H.mp4	What happened before the person closed the door?	Put down the blanket.	['Ate the medicine.', 'Put down the clothes.', 'Put down the blanket.', 'Took the clothes.']	81
Action Sequence	video/star/Charades_v1_480/	video	True	15.5	33.0	D1NT7.mp4	What happened before the person tidied up the clothes?	Took the blanket.	['Opened the bag.', 'Took the sandwich.', 'Took the blanket.', 'Sat on the floor.']	82
Action Sequence	video/star/Charades_v1_480/	video	True	10.7	21.6	HOI88.mp4	What happened after the person held the book?	Sat on the sofa/couch.	['Closed the closet/cabinet.', 'Took the paper/notebook.', 'Sat on the sofa/couch.', 'Closed the refrigerator.']	83
Action Sequence	video/star/Charades_v1_480/	video	True	24.3	31.4	AK9IB.mp4	What happened before the person put down the shoe?	Opened the box.	['Opened the box.', 'Took the box.', 'Took the cup/glass/bottle.', 'Took the clothes.']	84
Action Sequence	video/star/Charades_v1_480/	video	True	7.6	26.8	DGMDT.mp4	What happened after the person held the food?	Put down the bag.	['Threw the towel.', 'Closed the door.', 'Opened the closet/cabinet.', 'Put down the bag.']	85
Action Sequence	video/star/Charades_v1_480/	video	True	13.5	25.4	CH8XJ.mp4	What happened after the person opened the closet/cabinet?	Threw the shoe.	['Put down the towel.', 'Threw the shoe.', 'Closed the door.', 'Lied on the bed.']	86
Action Sequence	video/star/Charades_v1_480/	video	True	10.9	18.6	CR5G1.mp4	What happened after the person sat on the floor?	Took the blanket.	['Took the bag.', 'Took the phone/camera.', 'Took the blanket.', 'Took the box.']	87
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	9.0	8XXNK.mp4	What happened after the person sat on the sofa/couch?	Opened the box.	['Opened the box.', 'Opened the door.', 'Sat on the floor.', 'Put down the clothes.']	88
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	19.1	IBX56.mp4	What happened after the person held the sandwich?	Tidied up the clothes.	['Took the food.', 'Put down the food.', 'Threw the towel.', 'Tidied up the clothes.']	89
Action Sequence	video/star/Charades_v1_480/	video	True	12.0	27.6	JCNHL.mp4	What happened after the person threw the clothes?	Opened the box.	['Washed the dish.', 'Opened the box.', 'Took the laptop.', 'Opened the closet/cabinet.']	90
Action Sequence	video/star/Charades_v1_480/	video	True	0.6	16.6	S572F.mp4	What happened before the person washed the clothes?	Put down the towel.	['Put down the phone/camera.', 'Put down the clothes.', 'Put down the towel.', 'Washed the window.']	91
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	14.0	EDXBD.mp4	What happened before the person opened the door?	Sat at the table.	['Sat at the table.', 'Took the picture.', 'Put down the book.', 'Threw the shoe.']	92
Action Sequence	video/star/Charades_v1_480/	video	True	18.9	29.3	3CLVI.mp4	What happened before the person threw the clothes?	Closed the closet/cabinet.	['Closed the closet/cabinet.', 'Put down the towel.', 'Put down the paper/notebook.', 'Ate the sandwich.']	93
Action Sequence	video/star/Charades_v1_480/	video	True	13.8	25.6	5NG6Q.mp4	What happened after the person put down the dish?	Tidied up the table.	['Ate the medicine.', 'Tidied up the table.', 'Opened the box.', 'Washed the cup/glass/bottle.']	94
Action Sequence	video/star/Charades_v1_480/	video	True	6.5	17.0	TVCQF.mp4	What happened after the person sat at the table?	Opened the box.	['Threw the bag.', 'Closed the closet/cabinet.', 'Ate the sandwich.', 'Opened the box.']	95
Action Sequence	video/star/Charades_v1_480/	video	True	7.4	15.7	FETME.mp4	What happened before the person opened the book?	Took the paper/notebook.	['Put down the towel.', 'Took the paper/notebook.', 'Took the bag.', 'Tidied up the table.']	96
Action Sequence	video/star/Charades_v1_480/	video	True	8.6	19.9	I562C.mp4	What happened after the person closed the door?	Took the dish.	['Closed the box.', 'Put down the book.', 'Took the dish.', 'Took the picture.']	97
Action Sequence	video/star/Charades_v1_480/	video	True	24.3	31.4	AK9IB.mp4	What happened after the person opened the box?	Put down the shoe.	['Put down the dish.', 'Put down the shoe.', 'Sat on the sofa/couch.', 'Put down the food.']	98
Action Sequence	video/star/Charades_v1_480/	video	True	3.5	13.4	6PL9Z.mp4	What happened after the person held the blanket?	Took the book.	['Took the book.', 'Put down the paper/notebook.', 'Tidied up the closet/cabinet.', 'Threw the clothes.']	99
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	17.3	JOLLV.mp4	What happened after the person sat on the sofa/couch?	Opened the refrigerator.	['Lied on the bed.', 'Opened the refrigerator.', 'Took the pillow.', 'Ate the medicine.']	100
Action Sequence	video/star/Charades_v1_480/	video	True	14.2	21.8	ANA5N.mp4	What happened after the person opened the closet/cabinet?	Put down the towel.	['Put down the towel.', 'Put down the clothes.', 'Put down the food.', 'Threw the shoe.']	101
Action Sequence	video/star/Charades_v1_480/	video	True	7.9	22.5	2KGV3.mp4	What happened after the person put down the food?	Closed the book.	['Opened the closet/cabinet.', 'Closed the book.', 'Put down the cup/glass/bottle.', 'Put down the phone/camera.']	102
Action Sequence	video/star/Charades_v1_480/	video	True	2.6	16.2	Z6HEA.mp4	What happened after the person washed the clothes?	Sat on the floor.	['Sat on the floor.', 'Took the laptop.', 'Put down the towel.', 'Put down the laptop.']	103
Action Sequence	video/star/Charades_v1_480/	video	True	14.2	26.1	YFI1M.mp4	What happened before the person took the phone/camera?	Put down the clothes.	['Opened the window.', 'Put down the clothes.', 'Took the paper/notebook.', 'Put down the shoe.']	104
Action Sequence	video/star/Charades_v1_480/	video	True	10.3	19.7	FL6DF.mp4	What happened after the person threw the pillow?	Put down the laptop.	['Tidied up the clothes.', 'Put down the laptop.', 'Tidied up the towel.', 'Washed the table.']	105
Action Sequence	video/star/Charades_v1_480/	video	True	8.7	22.5	G87XG.mp4	What happened after the person sat at the table?	Put down the book.	['Washed the dish.', 'Threw the broom.', 'Put down the book.', 'Took the paper/notebook.']	106
Action Sequence	video/star/Charades_v1_480/	video	True	14.2	28.8	K47J5.mp4	What happened after the person ate the medicine?	Put down the dish.	['Put down the dish.', 'Washed the dish.', 'Took the cup/glass/bottle.', 'Threw the clothes.']	107
Action Sequence	video/star/Charades_v1_480/	video	True	12.3	28.4	JBJGX.mp4	What happened before the person put down the clothes?	Closed the laptop.	['Closed the door.', 'Took the blanket.', 'Took the paper/notebook.', 'Closed the laptop.']	108
Action Sequence	video/star/Charades_v1_480/	video	True	18.6	28.7	EO6OI.mp4	What happened after the person washed the table?	Put down the towel.	['Threw the clothes.', 'Washed the cup/glass/bottle.', 'Took the phone/camera.', 'Put down the towel.']	109
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	14.1	V54TI.mp4	What happened after the person lied on the bed?	Put down the picture.	['Threw the pillow.', 'Took the book.', 'Put down the picture.', 'Closed the box.']	110
Action Sequence	video/star/Charades_v1_480/	video	True	13.8	29.1	ZAJAJ.mp4	What happened after the person held the picture?	Opened the laptop.	['Sat at the table.', 'Took the laptop.', 'Put down the dish.', 'Opened the laptop.']	111
Action Sequence	video/star/Charades_v1_480/	video	True	8.1	19.3	8BBX0.mp4	What happened before the person opened the door?	Put down the bag.	['Put down the bag.', 'Closed the book.', 'Took the shoe.', 'Washed the table.']	112
Action Sequence	video/star/Charades_v1_480/	video	True	4.4	20.8	S1J2Q.mp4	What happened before the person opened the refrigerator?	Took the clothes.	['Opened the bag.', 'Put down the dish.', 'Put down the food.', 'Took the clothes.']	113
Action Sequence	video/star/Charades_v1_480/	video	True	10.4	23.3	9MNZ5.mp4	What happened before the person put down the food?	Opened the box.	['Put down the laptop.', 'Took the phone/camera.', 'Closed the door.', 'Opened the box.']	114
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	11.1	1G90H.mp4	What happened after the person lied on the floor?	Took the cup/glass/bottle.	['Put down the clothes.', 'Tidied up the blanket.', 'Opened the book.', 'Took the cup/glass/bottle.']	115
Action Sequence	video/star/Charades_v1_480/	video	True	22.6	31.3	F0ZPW.mp4	What happened after the person drank from the cup/glass/bottle?	Took the dish.	['Took the towel.', 'Put down the dish.', 'Opened the book.', 'Took the dish.']	116
Action Sequence	video/star/Charades_v1_480/	video	True	7.0	21.0	RKGG5.mp4	What happened before the person lied on the sofa/couch?	Took the pillow.	['Took the pillow.', 'Opened the door.', 'Took the phone/camera.', 'Threw the box.']	117
Action Sequence	video/star/Charades_v1_480/	video	True	7.4	27.1	XQDQ4.mp4	What happened before the person opened the box?	Took the cup/glass/bottle.	['Tidied up the blanket.', 'Put down the dish.', 'Took the cup/glass/bottle.', 'Opened the closet/cabinet.']	118
Action Sequence	video/star/Charades_v1_480/	video	True	6.1	20.3	3T785.mp4	What happened after the person put down the clothes?	Took the laptop.	['Put down the pillow.', 'Took the laptop.', 'Closed the door.', 'Closed the closet/cabinet.']	119
Action Sequence	video/star/Charades_v1_480/	video	True	13.5	25.3	UIERL.mp4	What happened before the person held the dish?	Took the food.	['Closed the door.', 'Put down the food.', 'Closed the refrigerator.', 'Took the food.']	120
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	8.2	1HAYV.mp4	What happened before the person drank from the cup/glass/bottle?	Ate the sandwich.	['Ate the sandwich.', 'Took the dish.', 'Washed the cup/glass/bottle.', 'Took the picture.']	121
Action Sequence	video/star/Charades_v1_480/	video	True	16.4	31.0	AEUVY.mp4	What happened before the person held the broom?	Put down the phone/camera.	['Put down the phone/camera.', 'Put down the cup/glass/bottle.', 'Washed the table.', 'Tidied up the closet/cabinet.']	122
Action Sequence	video/star/Charades_v1_480/	video	True	13.4	29.0	R9382.mp4	What happened before the person ate the sandwich?	Closed the refrigerator.	['Sat on the floor.', 'Closed the refrigerator.', 'Closed the closet/cabinet.', 'Took the box.']	123
